iter	Passed	Remaining
0	89	71506
1	179	71642
2	289	77042
3	388	77281
4	538	85566
5	657	86971
6	805	91300
7	895	88703
8	991	87178
9	1079	85318
10	1173	84176
11	1258	82653
12	1352	81904
13	1434	80537
14	1528	79981
15	1613	79075
16	1709	78746
17	1791	77835
18	1887	77568
19	1973	76965
20	2078	77091
21	2159	76373
22	2256	76214
23	2341	75720
24	2434	75461
25	2518	74985
26	2627	75233
27	2713	74813
28	2807	74646
29	2891	74223
30	3030	75177
31	3123	74962
32	3220	74847
33	3304	74447
34	3400	74333
35	3492	74111
36	3607	74394
37	3717	74549
38	3837	74875
39	3937	74819
40	4049	74961
41	4136	74661
42	4236	74587
43	4316	74168
44	4409	73980
45	4492	73639
46	4590	73551
47	4684	73392
48	4779	73254
49	4863	72950
50	4956	72791
51	5044	72557
52	5136	72401
53	5247	72492
54	5362	72637
55	5450	72414
56	5547	72313
57	5629	72019
58	5727	71938
59	5811	71670
60	5905	71547
61	5987	71275
62	6080	71132
63	6163	70875
64	6261	70798
65	6342	70538
66	6437	70424
67	6522	70208
68	6616	70091
69	6709	69971
70	6808	69909
71	6894	69712
72	6989	69609
73	7076	69423
74	7175	69361
75	7258	69145
76	7356	69078
77	7449	68959
78	7585	69225
79	7667	69003
80	7769	68963
81	7853	68768
82	7946	68647
83	8032	68463
84	8126	68359
85	8208	68149
86	8304	68059
87	8392	67899
88	8484	67777
89	8567	67589
90	8670	67550
91	8751	67347
92	8846	67254
93	8931	67083
94	9026	66987
95	9110	66811
96	9201	66690
97	9283	66503
98	9381	66428
99	9464	66249
100	9558	66149
101	9642	65982
102	9766	66088
103	9864	66018
104	9968	65985
105	10057	65850
106	10155	65770
107	10238	65603
108	10333	65510
109	10415	65336
110	10512	65255
111	10606	65155
112	10752	65370
113	10861	65360
114	10963	65302
115	11046	65137
116	11142	65043
117	11226	64886
118	11321	64791
119	11409	64653
120	11512	64605
121	11595	64442
122	11692	64357
123	11778	64210
124	11879	64151
125	11997	64176
126	12129	64277
127	12220	64158
128	12318	64073
129	12399	63906
130	12496	63817
131	12581	63668
132	12686	63620
133	12767	63456
134	12861	63356
135	12946	63207
136	13046	63138
137	13128	62979
138	13222	62879
139	13307	62733
140	13405	62653
141	13486	62491
142	13584	62414
143	13666	62258
144	13762	62170
145	13845	62020
146	13942	61933
147	14026	61792
148	14122	61705
149	14211	61581
150	14347	61665
151	14432	61526
152	14533	61458
153	14619	61327
154	14721	61261
155	14803	61113
156	14900	61027
157	14989	60908
158	15086	60822
159	15170	60681
160	15266	60591
161	15346	60440
162	15443	60351
163	15526	60214
164	15624	60130
165	15705	59982
166	15801	59892
167	15882	59747
168	15978	59658
169	16060	59517
170	16156	59428
171	16237	59285
172	16336	59206
173	16417	59065
174	16537	59061
175	16645	59015
176	16756	58980
177	16835	58828
178	16929	58733
179	17014	58606
180	17110	58517
181	17195	58390
182	17293	58306
183	17375	58171
184	17469	58073
185	17554	57947
186	17651	57864
187	17734	57732
188	17833	57652
189	17916	57522
190	18013	57435
191	18092	57293
192	18193	57219
193	18274	57085
194	18369	56991
195	18449	56854
196	18543	56758
197	18627	56633
198	18739	56595
199	18847	56541
200	18948	56469
201	19044	56380
202	19141	56292
203	19227	56173
204	19318	56070
205	19404	55952
206	19498	55858
207	19581	55730
208	19673	55632
209	19758	55511
210	19854	55423
211	19937	55299
212	20036	55217
213	20120	55097
214	20216	55007
215	20300	54885
216	20400	54809
217	20482	54682
218	20576	54589
219	20661	54470
220	20770	54416
221	20871	54340
222	21030	54415
223	21150	54387
224	21251	54308
225	21335	54187
226	21432	54100
227	21453	53821
228	21550	53735
229	21630	53606
230	21723	53509
231	21810	53397
232	21908	53313
233	21999	53213
234	22096	53126
235	22177	53001
236	22277	52919
237	22365	52812
238	22460	52721
239	22544	52604
240	22644	52524
241	22736	52425
242	22833	52339
243	22918	52223
244	23017	52141
245	23102	52027
246	23201	51945
247	23316	51898
248	23436	51861
249	23526	51758
250	23632	51689
251	23721	51583
252	23819	51499
253	23910	51398
254	24009	51314
255	24094	51201
256	24192	51115
257	24281	51009
258	24379	50922
259	24462	50807
260	24559	50718
261	24646	50609
262	24746	50529
263	24836	50425
264	24938	50346
265	25027	50243
266	25130	50166
267	25214	50052
268	25308	49957
269	25395	49850
270	25504	49785
271	25644	49780
272	25747	49702
273	25837	49600
274	25937	49516
275	26025	49411
276	26124	49324
277	26213	49221
278	26313	49136
279	26401	49031
280	26502	48949
281	26586	48836
282	26690	48758
283	26784	48664
284	26884	48580
285	26971	48472
286	27076	48398
287	27163	48290
288	27261	48203
289	27349	48098
290	27449	48012
291	27533	47900
292	27637	47822
293	27722	47712
294	27859	47691
295	27957	47603
296	28067	47534
297	28150	47421
298	28255	47344
299	28343	47238
300	28441	47150
301	28528	47043
302	28628	46958
303	28715	46851
304	28822	46777
305	28908	46668
306	29006	46580
307	29098	46481
308	29195	46391
309	29283	46287
310	29382	46198
311	29465	46086
312	29564	46000
313	29653	45896
314	29752	45808
315	29836	45699
316	29942	45622
317	30040	45533
318	30182	45510
319	30267	45400
320	30374	45325
321	30461	45218
322	30560	45131
323	30647	45025
324	30751	44943
325	30780	44754
326	30887	44678
327	30975	44575
328	31102	44527
329	31232	44482
330	31348	44418
331	31437	44315
332	31539	44231
333	31623	44120
334	31727	44039
335	31813	43932
336	31918	43851
337	32009	43752
338	32109	43665
339	32197	43560
340	32310	43491
341	32434	43436
342	32543	43359
343	32634	43259
344	32744	43184
345	32839	43089
346	32942	43005
347	33033	42905
348	33146	42833
349	33240	42738
350	33345	42656
351	33434	42552
352	33534	42464
353	33622	42360
354	33726	42276
355	33813	42171
356	33916	42086
357	34017	41999
358	34140	41939
359	34250	41861
360	34381	41809
361	34491	41732
362	34640	41702
363	34743	41615
364	34864	41550
365	34955	41449
366	35057	41362
367	35148	41261
368	35251	41174
369	35337	41067
370	35441	40982
371	35530	40879
372	35628	40787
373	35715	40680
374	35817	40593
375	35906	40489
376	36007	40400
377	36094	40295
378	36194	40205
379	36224	40037
380	36323	39945
381	36415	39846
382	36514	39756
383	36600	39650
384	36702	39562
385	36797	39467
386	36948	39430
387	37044	39335
388	37152	39253
389	37239	39149
390	37342	39061
391	37433	38960
392	37532	38869
393	37621	38767
394	37724	38679
395	37817	38580
396	37918	38491
397	38007	38389
398	38058	38248
399	38149	38149
400	38250	38059
401	38337	37956
402	38439	37867
403	38530	37767
404	38627	37674
405	38714	37569
406	38819	37483
407	38917	37391
408	39018	37301
409	39047	37142
410	39185	37088
411	39288	36999
412	39394	36914
413	39486	36815
414	39596	36733
415	39684	36631
416	39785	36541
417	39871	36438
418	39977	36351
419	40071	36255
420	40174	36166
421	40262	36064
422	40368	35978
423	40459	35878
424	40564	35791
425	40651	35688
426	40756	35602
427	40844	35500
428	40961	35423
429	41049	35322
430	41154	35234
431	41246	35135
432	41413	35100
433	41576	35062
434	41689	34981
435	41778	34879
436	41896	34802
437	41992	34705
438	42097	34617
439	42190	34519
440	42291	34427
441	42378	34324
442	42482	34235
443	42574	34136
444	42678	34047
445	42767	33945
446	42883	33865
447	42973	33765
448	43075	33673
449	43175	33581
450	43284	33494
451	43373	33393
452	43475	33302
453	43563	33200
454	43678	33118
455	43810	33049
456	43926	32968
457	44020	32871
458	44125	32781
459	44221	32685
460	44328	32596
461	44418	32496
462	44520	32404
463	44613	32306
464	44719	32217
465	44810	32117
466	44927	32036
467	45018	31936
468	45123	31845
469	45215	31747
470	45316	31654
471	45406	31553
472	45507	31460
473	45595	31359
474	45699	31268
475	45797	31172
476	45903	31083
477	46021	31001
478	46139	30920
479	46236	30824
480	46351	30740
481	46451	30646
482	46558	30556
483	46648	30456
484	46753	30365
485	46844	30265
486	46958	30180
487	47049	30080
488	47156	29991
489	47248	29891
490	47353	29800
491	47449	29704
492	47554	29613
493	47642	29511
494	47742	29417
495	47834	29318
496	47940	29227
497	48038	29131
498	48149	29044
499	48279	28967
500	48409	28890
501	48512	28798
502	48627	28712
503	48727	28617
504	48841	28530
505	48952	28442
506	49062	28353
507	49155	28254
508	49264	28165
509	49355	28065
510	49467	27976
511	49560	27877
512	49665	27785
513	49755	27684
514	49860	27592
515	49952	27493
516	50068	27407
517	50159	27307
518	50263	27213
519	50353	27113
520	50465	27024
521	50589	26942
522	50704	26855
523	50804	26759
524	50925	26675
525	51037	26585
526	51144	26494
527	51239	26396
528	51348	26305
529	51440	26205
530	51558	26118
531	51689	26039
532	51832	25965
533	51935	25870
534	52043	25778
535	52147	25684
536	52253	25591
537	52346	25492
538	52453	25399
539	52552	25302
540	52660	25210
541	52755	25112
542	52913	25043
543	53019	24950
544	53143	24865
