feature,importance
service_workers_pct,0.42786828424412854
no_education_pct,0.21883141567963277
farm_workers_pct,0.100503681077589
Children Attending School,0.060159877066297135
highschool_pct,0.02844339518191069
Children Not Attending School,0.027566193389015663
elementary_pct,0.027351312939053768
self_employed_count,0.022230749278682595
permanent_employment_pct,0.017667026639630285
school_attendance_rate,0.011586752287718995
single_house_pct,0.010574626656548928
electricity_access_pct,0.00560709403501618
weekly_employment_pct,0.005309565582716138
strong_wall_pct,0.0032317342429812965
seasonal_employment_pct,0.0029649946283636834
makeshift_roof_pct,0.002851194428899965
improved_water_pct,0.0025690536777979106
college_pct,0.0025624600420967552
strong_roof_pct,0.0020012735322979336
unskilled_workers_pct,0.0018063231510687227
index_right,0.001625631673766111
shape_len,0.001558827202009263
shape_sqkm,0.0015131805904728336
light_wall_pct,0.0014339451686380539
total_employed,0.0014198554388177625
shape_area,0.0014120620677584835
light_roof_pct,0.0011592569874843133
multi_residential_pct,0.0010933594884695787
duplex_pct,0.0007935817549530205
unimproved_water_pct,0.0007820243079107923
employment_diversity,0.0007548854892603136
precipitation,0.0006915361711295571
makeshift_wall_pct,0.0005590993128800349
y_idx_y,0.000461634089527331
y_idx_x,0.00030644523631571024
x_idx_x,0.00029833171505833144
lat,0.0002957815540507048
road_accessibility,0.0002600979004994347
modis_ndvi,0.00023244709371760387
surface_temp,0.0001865915853694719
x_idx_y,0.000143703110599743
lon,0.00013663163700465214
elevation,0.00011033874762660736
nighttime_lights,0.00010510356005431792
NIR_mean,8.940297799325156e-05
NIR_glcm_homogeneity,6.976274596291229e-05
sentinel2_composite,6.587361170218647e-05
psgc_code,6.477936777958847e-05
NIR_glcm_contrast,5.439982163056235e-05
ndbi,5.3452572892030665e-05
slope,5.060035891732023e-05
Red_mean,5.046148910551208e-05
population,4.431453442939661e-05
Red_glcm_contrast,4.091511792897519e-05
Red_glcm_energy,3.964753760542018e-05
ndvi,3.9207089300329846e-05
poi_accessibility,3.664140481273239e-05
Red_glcm_homogeneity,3.6315038584386094e-05
NIR_std,3.373589094175497e-05
Red_std,3.0845970526386837e-05
NIR_glcm_asm,2.8068716854000964e-05
NIR_glcm_correlation,2.5456865919540852e-05
NIR_glcm_dissimilarity,2.464379661488336e-05
NIR_glcm_energy,2.3186807447528535e-05
is_island,2.2358550801628505e-05
Red_glcm_asm,1.6263134635586937e-05
Red_glcm_dissimilarity,1.4890680307987275e-05
Red_glcm_correlation,1.3618766455632222e-05
cluster,9.797506029475341e-06
is_protected_forest,6.097263771660478e-17
